0.000000000000000000e+00,0.000000000000000000e+00
3.806546569992708910e-03,4.011253545538709039e-03
7.608776713957614637e-03,8.018111584498003458e-03
1.140669525421437146e-02,1.202057900204087787e-02
1.520030700770717488e-02,1.601866067788913772e-02
1.898961678601076078e-02,2.001236148632944828e-02
2.277462939533636890e-02,2.400168629621940095e-02
2.655534963653773464e-02,2.798663997099356052e-02
3.033178230511705473e-02,3.196722736866949161e-02
3.410393219123094427e-02,3.594345334185383017e-02
3.787180407969641116e-02,3.991532273774826833e-02
4.163540274999678187e-02,4.388284039815560506e-02
4.539473297628766890e-02,4.784601115948576566e-02
4.914979952740288621e-02,5.180483985276177622e-02
5.290060716686039582e-02,5.575933130362581425e-02
5.664716065286822672e-02,5.970949033234516923e-02
6.038946473833038675e-02,6.365532175381823088e-02
6.412752417085278156e-02,6.759683037758049129e-02
6.786134369274909872e-02,7.153402100781050543e-02
7.159092804104673358e-02,7.546689844333585862e-02
7.531628194749266647e-02,7.939546747763914780e-02
7.903741013855933306e-02,8.331973289886392131e-02
8.275431733545053625e-02,8.723969948982061851e-02
8.646700825410728874e-02,9.115537202799252336e-02
9.017548760521366946e-02,9.506675528554171806e-02
9.387976009420269385e-02,9.897385402931495324e-02
9.757983042126221196e-02,1.028766730208496571e-01
1.012757032813406538e-01,1.067752170163797781e-01
1.049673833641529691e-01,1.106694907668417244e-01
1.086548753541863865e-01,1.145594990178802619e-01
1.123381839307062702e-01,1.184452465098544127e-01
1.160173137677619343e-01,1.223267379778433250e-01
1.196922695341924719e-01,1.262039781516521852e-01
1.233630558936325283e-01,1.300769717558181160e-01
1.270296775045181292e-01,1.339457235096159493e-01
1.306921390200924404e-01,1.378102381270641941e-01
1.343504450884115686e-01,1.416705203169308092e-01
1.380046003523504039e-01,1.455265747827391432e-01
1.416546094496082819e-01,1.493784062227737075e-01
1.453004770127148126e-01,1.532260193300860329e-01
1.489422076690356811e-01,1.570694187925005258e-01
